experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device1,mistral:7b,10,0.0042,0,0.0,4.2,0.0051,0.0018,0.0018,0.0012,0.0126,0.4041,False,1496.9,1496.9
E3,device1,mistral:7b,11,0.0024,0,0.0,2.42,0.004,0.0017,0.0011,0.001,0.0072,0.5566,False,1496.9,1496.9
E3,device1,mistral:7b,12,0.0038,0,0.0,3.79,0.0087,0.003,0.0027,0.0026,0.0114,0.7612,False,1496.9,1497.2
E3,device1,mistral:7b,13,0.0037,0,0.0,3.67,0.004,0.0018,0.0011,0.0009,0.0111,0.3599,False,1497.2,1497.2
E3,device1,mistral:7b,14,0.0022,0,0.0,2.25,0.0035,0.0014,0.001,0.0009,0.0066,0.533,False,1497.2,1497.2
E3,device1,mistral:7b,15,0.0017,0,0.0,1.71,0.0042,0.0015,0.0012,0.0013,0.0051,0.8325,False,1497.2,1497.2
E3,device1,mistral:7b,16,0.0015,0,0.0,1.54,0.0049,0.0018,0.0018,0.001,0.0045,1.0854,False,1497.2,1497.2
E3,device1,mistral:7b,17,0.0015,0,0.0,1.48,0.0042,0.0017,0.0013,0.001,0.0045,0.9341,False,1497.2,1497.2
E3,device1,mistral:7b,18,0.002,0,0.0,2.01,0.0038,0.0016,0.0011,0.0009,0.006,0.6289,False,1497.2,1497.2
E3,device1,mistral:7b,19,0.0016,0,0.0,1.65,0.0069,0.0027,0.0022,0.0017,0.0048,1.4331,False,1497.2,1497.2
E3,device1,mistral:7b,20,0.0019,0,0.0,1.85,0.0039,0.0017,0.001,0.001,0.0057,0.6784,False,1497.4,1497.4
E3,device1,mistral:7b,21,0.0015,0,0.0,1.49,0.0048,0.0018,0.0013,0.0014,0.0045,1.0678,False,1497.4,1497.4
E3,device1,mistral:7b,22,0.0018,0,0.0,1.75,0.0044,0.0016,0.0012,0.0014,0.0054,0.8231,False,1496.2,1496.0
E3,device1,mistral:7b,23,0.0021,0,0.0,2.07,0.0058,0.002,0.0017,0.0017,0.0063,0.9274,False,1496.0,1496.0
E3,device1,mistral:7b,24,0.002,0,0.0,2.01,0.008,0.0035,0.002,0.0021,0.006,1.3367,False,1496.0,1496.0
E3,device1,mistral:7b,25,0.0019,0,0.0,1.94,0.0093,0.0038,0.0028,0.0022,0.0057,1.6393,False,1496.0,1496.0
E3,device1,mistral:7b,26,0.003,0,0.0,2.98,0.006,0.0024,0.0017,0.0015,0.009,0.6645,False,1496.0,1496.0
E3,device1,mistral:7b,27,0.0018,0,0.0,1.83,0.0041,0.0016,0.0012,0.0011,0.0054,0.7661,False,1496.0,1496.0
E3,device1,mistral:7b,28,0.0019,0,0.0,1.87,0.0055,0.0017,0.0014,0.0021,0.0057,0.9601,False,1496.0,1496.0
E3,device1,mistral:7b,29,0.0022,0,0.0,2.23,0.0098,0.006,0.0021,0.0012,0.0066,1.4811,False,1496.0,1496.0
E3,device1,mistral:7b,30,0.0019,0,0.0,1.93,0.0041,0.0018,0.001,0.001,0.0057,0.7167,False,1496.0,1496.2
